Stock,Start,End,Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Return [%],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sharpe Ratio,Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Max. Drawdown [%],Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,# Trades,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
837748,2021-03-18,2025-07-04,1569 days,93.71633752244165,335694.1131125,395836.32784249994,1409.1842175000002,3256.941131125,2391.666666666667,390.19977066738187,61547046.845373765,75.8266298540653,6.339861791381979e-06,4.165601729689444,4.241054260186891,3944.87372477839,-0.287637321388177,-92.0053710065447,-18.294104678103583,531 days,44 days,16,75.0,157.82221021345583,-21.589958158995827,24.301183318971354,525 days,84 days,9.23043005791141,34.897066405755275,1.570548232932903,0.6891615940611165
300069,2014-01-02,2025-07-04,4201 days,98.23970037453184,462.1079300000021,20309.762077500003,686.6702549999999,-95.37892069999998,78.4304932735426,-25.187221652800396,43.72658145044714,-16.842068915011875,-0.5760162541255059,-0.6500387863765059,-0.25559699615462683,-106.20152866144434,0.13798979847925055,-98.54271384927797,-22.604059885614948,3426 days,377 days,98,35.714285714285715,107.66012230447375,-62.25976441413516,-2.9803816316105736,174 days,43 days,0.8205857770523438,-1.2177447111903603,-0.4961664877887194,-0.10615903083608857
000719,2014-01-02,2025-07-04,4201 days,98.40788476118271,325.9715749999996,16705.8915425,233.2586625,-96.74028425,99.74858579509743,-27.89445769377904,36.243657201316076,-18.564827794513906,-0.7696369474757679,-0.7439655545807637,-0.2844190005172697,-82.04271054386454,-0.14734618630410534,-98.07522578677127,-8.586862284711296,3945 days,207 days,96,38.54166666666667,33.893376413570266,-85.90090090090092,-3.3968475521031105,163 days,44 days,0.675576591041986,-1.698065891492859,-0.8663266065937109,-0.49862736199828145
300540,2016-08-23,2025-07-04,3237 days,96.6837926202709,9133.520219999997,30077.4116375,898.2056700000004,-8.664797800000033,49.58333333333333,-1.0611093712459163,62.91220086884904,-0.7031003040642081,-0.016866511687581482,-0.026214504088298937,-0.011643988421597059,-12.329679952939664,0.07391358963911863,-91.12937361546925,-7.853379092429805,2598 days,102 days,65,50.76923076923077,51.74291938997821,-34.80290456431534,-0.13178298959040102,119 days,49 days,1.191128430693911,1.1180732033267065,-0.06458590401082677,-0.010585453864524585
688192,2021-12-10,2025-07-04,1302 days,97.10312862108921,3482.3647625,15974.3764975,434.6718675,-65.17635237500001,60.09732360097322,-26.51052236798803,38.93242318393707,-18.467548299398352,-0.6809368695788213,-0.7061840649978317,-0.3390078991561531,-48.97039478742769,-0.26966188536405755,-78.20030870660277,-15.209373103292492,707 days,114 days,30,43.333333333333336,30.48873132438592,-34.777189155500146,-2.9359294823369853,95 days,43 days,0.7532448453988332,-1.6824713256140198,-0.6505690448991455,-0.20455753540515198
300030,2014-01-02,2025-07-04,4201 days,97.19877206446662,4360.588667500011,44800.342445,1966.7449424999998,-56.394113324999886,-11.120086160473889,-7.7122536040141965,50.38500789214787,-4.856777816732505,-0.15306643635985406,-0.22432074064298932,-0.08064986743256075,-54.579613220637754,0.1631732055109189,-95.62636430200169,-12.028354864572544,3649 days,185 days,95,38.94736842105263,142.65473527218492,-51.34751773049646,-1.0256499693504173,190 days,44 days,1.1060822953876868,0.5587969052965109,-0.16707100371796088,-0.026799148054849453
301511,2023-08-17,2025-07-04,687 days,92.07048458149781,7921.210492499999,11330.4161825,170.84020500000003,-20.78789507500001,-21.943430656934314,-12.13364217023335,64.00067043340158,-8.193061626686616,-0.18958617289579002,-0.26877596657483926,-0.1886269725477057,-13.815249556689254,0.3177554880693798,-64.32612476545276,-13.153695885104465,620 days,129 days,17,41.17647058823529,43.9295039164491,-32.55142547816673,-2.8002706052234427,78 days,38 days,0.7799174237860019,-1.5146335945368163,-0.8525050107593153,-0.3188333152380046
300430,2015-03-19,2025-07-04,3760 days,96.25976161117961,12753.934857499988,29536.560845000007,1716.9819525000005,27.539348574999877,193.13257436650747,2.551539736309616,55.17636653360304,1.6436866753192003,0.046243344689174105,0.07221030169401883,0.03222159657553753,26.42656930421259,0.005761737886202278,-79.18725350334537,-10.857887124070947,2570 days,146 days,79,50.63291139240506,63.57377049180328,-41.63265306122449,0.29467340481668103,183 days,46 days,1.3106372034521145,1.9190328773384544,0.1304509438768508,0.018542481086334495
600192,2014-01-02,2025-07-04,4201 days,99.24919556667858,1583.4755924999818,14235.416407499994,1063.3354875,-84.16524407500019,66.1610268378063,-15.299151584816029,60.05697282628874,-10.465973930595585,-0.2547439683493193,-0.3450570539145835,-0.16642890460674642,-96.47528002251474,0.18606174262821826,-91.92604866904746,-17.506468791286252,3509 days,278 days,107,45.794392523364486,38.34710743801652,-41.91919191919193,-1.6430102078100028,121 days,39 days,0.9694543248739019,-0.20648053029815716,-0.6307654865802009,-0.08193255552176276
002631,2014-01-02,2025-07-04,4201 days,11.902956785443518,0.0,23908.438239999996,165.38820000000004,-100.0,28.41110454813939,0.0,240.71355286856408,-100.0,0.0,0.0,0.0,,,-100.0,-18.64058997436735,3746 days,376 days,9,33.33333333333333,186.23853211009177,-103.96270396270397,0.0,82 days,52 days,1.4360235961402403,7.702489308851559,-0.36758723883611055,-0.20345592940046237
