params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 40, 'atr_multiplier': 2.0}",5402,128055.0000,-0.0086,9.0068,-26.7614,8.9588,109006.7513,130581.0843,3605.7344,36.7859,1.0694,17.5296,0.5972,0.2093,0.1501,4.3880,0.1150,-14.1920,43.7300,20.6048,-9.0939,0.2205,1.4700,0.4797,-0.0400,-0.0713,0.0405,0.0405
"{'n_len': 25, 'atr_multiplier': 3.0}",5402,66870.0000,-0.0102,8.3973,-23.1125,4.5668,108397.2878,128866.9439,1924.1039,46.6353,1.1094,16.0896,0.6011,inf,0.3220,2.8357,0.0949,-13.9673,41.5885,19.5443,-8.8514,0.3205,2.0238,0.6908,-0.1461,-0.2067,,
"{'n_len': 30, 'atr_multiplier': 2.5}",5402,100344.0000,-0.0108,9.1537,-25.8505,6.9510,109153.6557,131031.6483,2855.3687,37.0139,1.2505,17.4094,0.6730,inf,0.4969,4.1818,0.1108,-14.4920,42.5103,20.8655,-9.1263,0.2670,1.5084,0.5772,-0.0791,-0.0946,,
"{'n_len': 15, 'atr_multiplier': 3.5}",5402,26874.0000,-0.0117,5.5099,-17.4919,1.7914,105509.9169,122186.2464,774.7044,39.2786,0.6933,12.7724,0.4055,1.0573,0.6635,1.9456,0.0625,-12.3630,42.0783,14.6973,-7.3213,0.8024,3.4812,1.2503,-0.4796,-1.1066,,
"{'n_len': 35, 'atr_multiplier': 2.5}",5402,103169.0000,-0.0221,8.1501,-26.0194,7.1574,108150.0733,129977.2062,2916.8579,36.0981,1.0142,17.2096,0.5259,inf,0.3694,3.4697,0.1097,-14.5170,42.6345,20.3643,-9.0283,0.2303,1.4655,0.5265,-0.1051,-0.1011,0.0405,0.0405
"{'n_len': 50, 'atr_multiplier': 2.0}",5402,122234.0000,-0.0224,6.8786,-26.1139,8.5496,106878.6379,127747.7159,3425.2576,34.9230,0.6877,16.8249,0.3563,inf,0.1271,2.7943,0.1080,-14.0079,43.7671,19.7647,-8.9893,0.1805,1.3828,0.4319,-0.0764,-0.0839,0.0405,0.0405
"{'n_len': 45, 'atr_multiplier': 2.0}",5402,125638.0000,-0.0234,7.2891,-26.5698,8.7854,107289.1219,128682.6943,3517.1414,38.2351,0.7507,17.1423,0.3917,0.1695,0.1288,2.6733,0.1114,-14.2173,43.5323,20.1861,-9.0098,0.1853,1.3869,0.4386,-0.0798,-0.0857,0.0405,0.0405
"{'n_len': 30, 'atr_multiplier': 3.0}",5402,75057.0000,-0.0279,7.3484,-24.0261,5.1421,107348.3648,128264.3034,2143.9033,37.0139,0.8746,16.2744,0.4386,inf,0.4999,2.7246,0.0982,-14.4001,41.5450,19.4707,-8.9407,0.2213,1.5387,0.5619,-0.1587,-0.2164,,
"{'n_len': 55, 'atr_multiplier': 2.0}",5402,118893.0000,-0.0279,6.7169,-25.7230,8.3249,106716.9240,127516.2498,3331.8720,35.5634,0.6675,16.5656,0.3415,inf,0.3895,2.6966,0.1047,-13.9247,43.8981,19.4289,-8.9075,0.1812,1.4345,0.4299,-0.0953,-0.0981,0.0007,0.0007
"{'n_len': 20, 'atr_multiplier': 3.5}",5402,38348.0000,-0.0303,5.5761,-19.8366,2.5634,105576.0624,123898.6371,1100.9085,41.3828,0.6003,13.8933,0.3364,0.5575,0.3718,1.3709,0.0733,-13.1765,40.7166,16.5654,-8.2778,0.3882,3.6196,0.8135,-0.4310,-0.4836,,
"{'n_len': 10, 'atr_multiplier': 3.5}",5402,14574.0000,-0.0306,3.3783,-14.0762,0.9727,103378.2878,117296.4928,427.3660,39.1827,0.4207,10.5875,0.2507,3.0954,1.7874,0.7629,0.0452,-11.5434,40.7710,9.8623,-5.2330,0.8695,3.9659,1.2586,-2.0508,-1.2867,,
"{'n_len': 40, 'atr_multiplier': 2.5}",5402,104300.0000,-0.0384,6.8375,-26.0269,7.2264,106837.5247,128768.6193,2932.1538,36.7859,0.6428,16.9185,0.2994,inf,0.2603,2.2357,0.1079,-14.5964,42.5971,19.9537,-9.0185,0.1740,1.4450,0.4620,-0.1297,-0.0963,,
"{'n_len': 25, 'atr_multiplier': 3.5}",5402,48059.0000,-0.0391,5.8574,-21.3550,3.2347,105857.3607,125356.1609,1380.0574,46.6353,0.6248,14.6990,0.3137,0.2724,0.2000,0.8058,0.0811,-13.7684,40.5334,17.6043,-8.6557,0.2486,3.6844,0.6504,-0.2935,-0.3723,,
"{'n_len': 50, 'atr_multiplier': 2.5}",5402,103481.0000,-0.0420,5.7742,-25.6231,7.1735,105774.2160,126846.3024,2893.3643,34.9230,0.4127,16.4002,0.1688,inf,0.1702,1.6810,0.1035,-14.4420,42.8962,19.3289,-8.9501,0.1569,1.7213,0.4347,-0.1226,-0.5374,0.0405,0.0405
"{'n_len': 45, 'atr_multiplier': 2.5}",5402,104401.0000,-0.0433,6.2696,-25.8709,7.2319,106269.6037,127757.2831,2924.9730,38.2351,0.4976,16.6543,0.2100,inf,0.1232,1.6853,0.1057,-14.5598,42.6504,19.6783,-9.0193,0.1513,1.4553,0.4337,-0.1360,-0.0955,0.0405,0.0405
"{'n_len': 35, 'atr_multiplier': 3.0}",5402,80111.0000,-0.0437,6.4464,-24.6805,5.4959,106446.4198,127746.7335,2269.8758,36.0981,0.6739,16.2875,0.3016,0.3753,0.5041,2.0098,0.0994,-14.6909,41.7669,19.2596,-9.0079,0.1726,1.7012,0.4970,-0.1918,-0.1739,0.0405,0.0405
"{'n_len': 55, 'atr_multiplier': 2.5}",5402,102565.0000,-0.0477,5.3444,-25.5166,7.1129,105344.3726,126275.6103,2864.4678,35.5634,0.3367,16.1840,0.1257,inf,0.1188,1.2777,0.1011,-14.3527,42.9603,19.0849,-8.9981,0.1400,1.6602,0.4166,-0.1450,-0.5771,0.0405,0.0405
"{'n_len': 30, 'atr_multiplier': 3.5}",5402,56086.0000,-0.0507,5.6066,-22.4190,3.7954,105606.5679,125732.3881,1602.0046,37.0139,0.5558,15.1302,0.2347,0.2100,0.1578,1.3790,0.0858,-14.2128,40.4514,17.9763,-8.7266,0.1552,1.7659,0.5268,-0.3351,-0.3069,,
"{'n_len': 15, 'atr_multiplier': 4.0}",5402,18579.0000,-0.0516,3.1625,-15.6730,1.2278,103162.5064,118563.3157,537.8659,39.2786,0.2551,11.3155,0.1317,2.0016,1.1779,0.1595,0.0509,-12.0887,39.5664,11.4303,-6.4853,0.4369,2.6613,0.8618,-1.6387,-1.5152,,
"{'n_len': 40, 'atr_multiplier': 3.0}",5402,83208.0000,-0.0554,5.4798,-25.0364,5.7152,105479.7832,127130.1358,2349.4255,36.7859,0.4189,16.1662,0.1439,0.3801,0.4609,1.0962,0.0990,-14.7043,42.1090,18.9116,-8.9861,0.1210,1.5131,0.4344,-0.2164,-0.1731,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 4.0}",5402,27130.0000,-0.0590,3.6404,-18.0081,1.7933,103640.3973,120849.9468,779.1729,41.3828,0.2352,12.4968,0.1046,0.8593,0.6385,0.0072,0.0610,-12.8637,39.6026,13.9441,-7.7068,0.2767,2.8569,0.7106,-1.4382,-1.1422,,
"{'n_len': 25, 'atr_multiplier': 4.0}",5402,34992.0000,-0.0633,3.9297,-19.6242,2.3233,103929.7076,122180.3110,1002.5383,46.6353,0.2595,13.3720,0.0972,0.4952,0.3189,-0.5031,0.0689,-13.4034,39.7001,15.4693,-8.2218,0.1957,3.4326,0.6131,-0.9570,-1.2595,,
