params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'di_length': 20, 'adx_threshold': 25, 'di_diff_threshold': 25}",5402,7.0000,-0.2028,0.0038,-0.0084,0.0007,100003.7600,100014.1159,152.1544,29.9989,0.0012,0.0100,0.0007,32.8307,21.1555,-0.0008,0.0000,-6.4906,42.8571,2.9048,2.9048,2.9048,0.0000,2.9048,,,,
"{'di_length': 25, 'adx_threshold': 25, 'di_diff_threshold': 20}",5402,9.0000,-0.2053,0.0043,-0.0082,0.0009,100004.3282,100013.0705,151.9316,29.9989,0.0017,0.0102,0.0011,25.5524,16.4958,0.0019,0.0000,-4.9148,33.3333,2.6007,2.6007,2.6007,0.0000,2.6007,,,,
"{'di_length': 10, 'adx_threshold': 20, 'di_diff_threshold': 20}",5402,2082.0000,-0.2076,0.1325,-1.3959,0.2318,100132.5497,101454.1384,185.5321,29.9989,0.0269,1.3607,0.0129,8.2013,5.4636,0.0212,0.0034,-4.1492,39.5177,1.1587,-0.3576,0.3522,1.2152,0.3844,-6.4506,-1.9285,0.0050,0.0050
"{'di_length': 15, 'adx_threshold': 25, 'di_diff_threshold': 15}",5402,499.0000,-0.2081,0.1066,-0.3927,0.0547,100106.5623,100497.4021,159.9482,29.9989,0.0399,0.4302,0.0245,9.7462,6.5357,0.0681,0.0012,-4.3500,38.1206,1.3855,0.6847,1.0012,0.5344,1.0215,-5.7788,0.3379,,
"{'di_length': 10, 'adx_threshold': 30, 'di_diff_threshold': 25}",5402,363.0000,-0.2105,0.0656,-0.2626,0.0388,100065.6257,100321.1187,159.7174,29.9989,0.0235,0.2864,0.0142,12.3436,8.2435,0.0361,0.0007,-3.9637,38.5569,1.1066,0.5361,0.8101,0.1862,0.8249,-12.3693,-0.0755,0.0007,0.0007
"{'di_length': 30, 'adx_threshold': 25, 'di_diff_threshold': 5}",5402,489.0000,-0.2120,0.0966,-0.4971,0.0537,100096.6264,100609.6026,156.6992,29.9989,0.0295,0.5186,0.0178,11.7041,7.4914,0.0985,0.0019,-5.5556,35.8404,1.2363,0.6894,0.9142,0.1156,0.9375,-5.8446,-0.2149,,
"{'di_length': 15, 'adx_threshold': 30, 'di_diff_threshold': 15}",5402,275.0000,-0.2152,0.0632,-0.2320,0.0298,100063.1649,100299.5515,158.2088,29.9989,0.0242,0.2539,0.0149,9.4588,6.1469,0.0473,0.0008,-4.6258,36.8957,1.4318,0.8424,1.0926,0.6998,1.1126,-9.3175,0.4389,,
"{'di_length': 20, 'adx_threshold': 20, 'di_diff_threshold': 10}",5402,852.0000,-0.2168,0.1677,-0.6664,0.0944,100167.7478,100832.5684,163.3941,29.9989,0.0578,0.7208,0.0353,11.4738,7.5307,0.0864,0.0021,-4.3906,38.0892,1.4646,0.8550,1.1457,0.3140,1.1586,-7.5965,0.0364,0.0007,0.0007
"{'di_length': 25, 'adx_threshold': 20, 'di_diff_threshold': 10}",5402,315.0000,-0.2204,0.0770,-0.3093,0.0342,100076.9564,100399.1751,157.0271,29.9989,0.0265,0.3377,0.0162,12.9749,8.3901,0.0554,0.0011,-5.3913,33.3333,1.4663,1.0508,1.2460,0.0709,1.2585,-1.8809,-0.4415,0.0007,0.0007
"{'di_length': 15, 'adx_threshold': 20, 'di_diff_threshold': 15}",5402,874.0000,-0.2279,0.1426,-0.6665,0.0962,100142.5678,100795.9382,163.8274,29.9989,0.0483,0.7052,0.0289,11.1393,7.4016,0.0807,0.0019,-4.3064,37.1108,1.2223,0.4289,0.7976,0.5077,0.8184,-8.9267,-0.1220,,
"{'di_length': 10, 'adx_threshold': 25, 'di_diff_threshold': 25}",5402,560.0000,-0.2335,0.0427,-0.4089,0.0599,100042.7184,100438.0729,161.6095,29.9989,0.0096,0.4194,0.0047,9.5001,6.3219,0.0073,0.0009,-4.0670,37.5400,0.6108,-0.2006,0.1813,0.2279,0.2063,-9.4395,-0.2655,0.0007,0.0007
"{'di_length': 30, 'adx_threshold': 30, 'di_diff_threshold': 20}",5402,2.0000,-0.2347,-0.0019,-0.0056,0.0003,99998.0965,100004.4468,146.1083,29.9989,-0.0009,0.0046,-0.0006,-0.2901,-0.1720,-0.0030,0.0000,-15.0578,0.0000,-5.1463,-5.1463,-5.1463,0.0000,-5.1463,,,,
"{'di_length': 30, 'adx_threshold': 30, 'di_diff_threshold': 5}",5402,224.0000,-0.2410,-0.0063,-0.2364,0.0241,99993.6956,100237.3839,151.8053,29.9989,-0.0058,0.2237,-0.0043,7.8306,5.1477,-0.0013,0.0008,-5.6675,31.6742,-0.0782,-0.2109,-0.1473,0.0237,-0.1446,-17.5981,-0.0629,,
"{'di_length': 25, 'adx_threshold': 20, 'di_diff_threshold': 20}",5402,12.0000,-0.2514,0.0046,-0.0145,0.0012,100004.5794,100021.5934,151.5298,29.9989,0.0016,0.0163,0.0010,19.0801,12.3104,-0.0020,0.0000,-6.5362,33.3333,2.0637,2.0637,2.0637,0.0000,2.0637,,,,
