params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Profit Factor,Expectancy [%],SQN,Kelly Criterion,Max. Drawdown Duration,Avg. Drawdown Duration
"{'n_len': 25, 'atr_multiplier': 2.0}",5402,46121.0000,-0.2064,-3.5106,-55.1445,43.5942,96489.4019,174362.6461,1191.3371,46.6353,-3.8834,4824.5957,-2.9814,-0.1879,-0.0385,-34.4869,0.5416,-22.0161,31.2644,41.5644,-19.5897,-2.4509,1.1961,-0.3465,-0.9095,-0.9158,,
"{'n_len': 15, 'atr_multiplier': 2.5}",5402,23330.0000,-0.2069,-3.5848,-56.2832,48.5198,96415.1575,177641.9956,576.5843,39.2786,-3.6996,43.6954,-3.0245,-0.1829,-0.0306,-33.7910,0.5924,-22.9255,30.4776,28.1754,-22.0800,-5.0057,1.4916,-2.3909,-1.3679,-3.8716,,
"{'n_len': 30, 'atr_multiplier': 3.5}",5402,15141.0000,-0.2100,-4.5701,-55.8787,44.3922,95429.9195,173043.8392,366.0133,37.0139,-4.0104,39.7446,-3.1710,-0.1943,-0.0388,-33.2714,0.5821,-23.9700,24.2921,13.1197,-22.3462,-8.9405,2.0253,-6.7697,-4.0360,-4.3504,,
"{'n_len': 40, 'atr_multiplier': 1.5}",5402,52288.0000,-0.2154,-3.6971,-55.0438,41.9829,96302.9429,171793.6187,1339.5612,36.7859,-4.1064,42.4937,-3.1220,-0.2006,-0.0455,-27.4328,0.5225,-21.5589,30.0467,42.9322,-18.4722,-2.3008,1.1798,-0.3381,-0.9578,-0.7479,0.0405,0.0405
"{'n_len': 35, 'atr_multiplier': 3.5}",5402,16320.0000,-0.2163,-5.2021,-55.7696,42.7394,94797.9384,171636.6352,395.5206,36.0981,-4.1476,39.0111,-3.2366,-0.2039,-0.0431,-32.4358,0.5675,-23.7314,24.5601,14.2920,-22.0058,-8.4681,1.3944,-6.3601,-2.8768,-5.4803,0.0405,0.0405
"{'n_len': 20, 'atr_multiplier': 3.0}",5402,17810.0000,-0.2172,-5.2429,-56.1665,47.1921,94757.0940,175389.6257,432.3049,41.3828,-4.2389,40.2847,-3.3082,inf,-0.0462,-37.0701,0.5871,-23.7099,27.3433,20.0693,-22.5860,-7.0590,1.2272,-4.4972,-2.0323,-3.7923,,
"{'n_len': 55, 'atr_multiplier': 3.5}",5402,17354.0000,-0.2209,-5.2701,-54.7502,37.0840,94729.9008,167104.6048,425.6837,35.5634,-3.9590,37.1273,-3.1038,-0.2098,-0.0446,-30.3248,0.5224,-23.8310,23.7066,14.9251,-21.5869,-8.2863,6.9535,-6.3035,-3.3226,-3.9919,0.0405,0.0405
"{'n_len': 45, 'atr_multiplier': 3.5}",5402,17422.0000,-0.2222,-5.6615,-55.3256,39.6783,94338.5406,168768.6852,424.9164,38.2351,-4.1341,37.8907,-3.2208,-0.2116,-0.0461,-32.9809,0.5403,-23.8509,24.4546,15.3986,-21.6098,-8.0136,1.3003,-5.9937,-2.2613,-3.4419,0.0405,0.0405
"{'n_len': 40, 'atr_multiplier': 3.5}",5402,17116.0000,-0.2232,-6.0708,-55.6685,41.1657,93929.2065,169835.8767,416.2202,36.7859,-4.3018,38.2773,-3.3285,-0.2137,-0.0486,-32.9491,0.5528,-23.8016,24.5016,15.1136,-22.0746,-8.3386,0.9620,-6.2319,-2.8032,-4.0266,0.0405,0.0405
"{'n_len': 50, 'atr_multiplier': 3.5}",5402,17515.0000,-0.2234,-5.6132,-55.0073,38.2109,94386.8039,167854.3571,428.7059,34.9230,-4.0963,37.3994,-3.1863,-0.2132,-0.0480,-30.4093,0.5290,-23.8544,24.2169,15.3873,-21.6821,-8.1323,1.3794,-6.0958,-2.3553,-2.8698,0.0405,0.0405
"{'n_len': 45, 'atr_multiplier': 1.5}",5402,49076.0000,-0.2272,-6.1293,-55.1462,41.3239,93870.6601,169596.1336,1242.9241,38.2351,-4.5839,41.9018,-3.4170,-0.2192,-0.0537,-30.6596,0.5192,-21.8852,29.7523,41.1056,-19.1176,-2.6572,1.1147,-0.6646,-1.0111,-1.1085,0.0405,0.0405
"{'n_len': 30, 'atr_multiplier': 2.0}",5402,45318.0000,-0.2295,-5.8397,-55.6853,42.7176,94160.2924,171820.5805,1151.4149,37.0139,-4.5077,267.6128,-3.4109,-0.2145,-0.0425,-30.6389,0.5339,-22.2414,30.3160,40.5179,-19.7360,-2.8097,1.1642,-0.7135,-1.0021,-1.2229,,
