params,Num Stocks Tested,Total Trades,Sharpe Ratio,Return [%],Max. Drawdown [%],Duration,Exposure Time [%],Equity Final [$],Equity Peak [$],Commissions [$],Buy & Hold Return [%],Return (Ann.) [%],Volatility (Ann.) [%],CAGR [%],Sortino Ratio,Calmar Ratio,Alpha [%],Beta,Avg. Drawdown [%],Max. Drawdown Duration,Avg. Drawdown Duration,Win Rate [%],Best Trade [%],Worst Trade [%],Avg. Trade [%],Max. Trade Duration,Avg. Trade Duration,Profit Factor,Expectancy [%],SQN,Kelly Criterion
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 5, 'trail_mult': 15.0}",5400,29867,-0.007019302714176007,4.320409416291776,-12.946528006981621,545 days 19:05:52,6.5585925645845045,104320.40941629178,115448.06278432638,848.765556835104,15.57722133138555,2.6540246579012448,13.9239453271946,1.572657443449129,0.6819063766475985,0.6593475210187394,3.3753016800653497,0.06771892341140155,-8.313433614840472,,,47.15118539529376,10.996249375438667,-5.939897327730722,0.7416894758851832,8 days 15:49:40.070514010,5 days 14:49:48.754871033,4.570397736230819,0.9847177205227595,0.034195107418694956,-0.34116078784598247
"{'osc_len': 21, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 12.0}",5400,31432,-0.009800404422392862,5.181490158678003,-13.846397041649713,545 days 19:05:52,6.827979437655938,105181.49015867799,117099.66369503575,892.261715806205,15.57722133138555,3.198277437774166,15.407399691185164,1.9043463810391723,0.665334069071216,0.6511863869328938,4.096711467167189,0.07959524930193093,-9.943732101251479,332 days 06:34:38.694604116,243 days 03:02:22.184313,44.45976244946751,12.485232777019723,-5.903718698165242,0.8125745315761337,9 days 10:05:00.500834724,5 days 16:30:11.018363939,3.980952347326849,1.0869163753887023,-0.02692880358739346,-0.45851052613034116
"{'osc_len': 15, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 15.0}",5400,29457,-0.01476394470191282,5.181280662047076,-13.244223250384021,545 days 19:05:52,6.398517609281322,105181.28066204707,116591.75332177359,836.0011073100779,15.57722133138555,3.2100938266082126,15.000306077539458,1.9160760629154592,0.7192813123844325,0.6991383292361489,4.115572588760754,0.07612570613020841,-9.583866818833515,332 days 23:50:39.377085652,245 days 19:51:59.466073416,44.72536415518058,12.210985940698674,-5.8260587058868945,0.854235393884814,9 days 03:10:38.828110513,5 days 15:24:55.939180419,3.9021585559217695,1.134939448728848,-0.05377494668431821,-0.5314800825136168
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 10.0}",5400,28979,-0.021991268801547934,4.230194254999786,-12.8444356680308,545 days 19:05:52,6.411115211371139,104230.19425499978,115729.02164964627,827.1129793855307,15.57722133138555,2.566114190040593,13.720030741948285,1.5132737070850324,0.6765448423023775,0.6532682638907448,3.2817976547756325,0.06590562082813059,-8.188067454663306,322 days 01:38:03.985897196,210 days 06:50:42.197068100,46.25192558621766,10.963528533636802,-5.936916726073139,0.722546327449988,8 days 11:22:11.378734459,5 days 14:50:20.820189274,4.6427316009262,0.969815132835851,0.043341711027956316,-0.3349515479163197
"{'osc_len': 21, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 15.0}",5400,29971,-0.03220389612920546,4.631764043235828,-13.598337884494343,545 days 19:05:52,6.520543006996336,104631.76404323582,116637.0610386489,850.8668359268224,15.57722133138555,2.8451279867828307,14.939557322234547,1.6759766747261804,0.6503085206550603,0.6366641525482422,3.5614674194489178,0.07555718793101299,-9.770958977843048,336 days 00:58:29.198813056,245 days 14:53:19.406528188,44.208748855382126,11.946398945148879,-5.918912629968053,0.7467957667925734,9 days 02:15:25.542570951,5 days 14:49:44.974958263,3.9880819632981135,1.0186700884070872,-0.11431436803995008,-0.5554469341426618
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 3, 'trail_mult': 15.0}",5400,53144,-0.035102822017234046,4.782270950054474,-17.20218109730099,545 days 19:05:52,10.567227998565738,104782.27095005449,118072.72043120004,1462.7184684876388,15.57722133138555,2.8236308393695957,19.00222397204237,1.590162754071752,0.5128659271045101,0.5372640092481028,3.1802479872422516,0.11780495897041812,-12.131773743522576,335 days 21:39:12,228 days 18:29:36,40.91877456995921,16.79981654552327,-6.725726339409416,0.4912461665722461,11 days 03:41:52,5 days 07:49:04,1.9768097694262348,0.7715170625831574,-0.02745474265438512,-0.11207125146237001
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 12.0}",5400,27911,-0.04619352164745351,3.60226913682812,-12.59994899870989,545 days 19:05:52,6.15090163821611,103602.26913682812,114973.05772057375,794.633897353494,15.57722133138555,2.151774480857402,13.234686446251734,1.2502271794252917,0.6295576120516422,0.6152952929579444,2.7205386279902832,0.06276389761749154,-8.142202562788267,324 days 11:33:24.750417516,214 days 05:12:54.243830024,45.75605254474964,10.460346100928296,-5.885332429257284,0.640989853654641,8 days 06:13:21.781737193,5 days 13:22:18.975501113,4.193538324359112,0.882416145818673,-0.006763098722277599,-0.34402775456493234
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 10.0}",5400,35882,-0.05334696550060507,5.177617323714319,-14.408106729480087,545 days 19:05:52,7.467414527828657,105177.61732371432,116533.70790915666,998.489090144058,15.57722133138555,3.12096278808055,16.26480727845804,1.8253920521939209,0.6207857658938029,0.6126699101120212,4.031192003079921,0.08700693380311922,-10.685627520111847,339 days 00:26:40.296351176,256 days 01:48:01.200222264,41.95995042790152,14.733796579984576,-6.226290516693518,0.7120094165086563,10 days 04:20:05.779918488,5 days 13:59:14.649870322,3.2257520808990874,1.0237693844027735,-0.1298502210115428,-0.3667112927336066
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 10.0}",5400,34499,-0.054948511510264135,3.7929123469616597,-14.125215360258133,545 days 19:05:52,7.53808043916603,103792.91234696168,115762.47607203016,975.3638541990534,15.57722133138555,2.2497540699899248,14.5915017555237,1.2948810230103691,0.5499796273585809,0.5652804434577519,2.767226071178041,0.07410735949847629,-9.01099177464669,323 days 07:28:44.874791320,209 days 04:40:28.046744576,45.8107107773032,11.356027444646468,-6.283073023922294,0.569113905300063,9 days 08:35:32.739420935,5 days 16:49:58.663697104,3.211127761273882,0.800494645318438,-0.08719705188031522,-0.3163446590396326
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 10.0}",5400,31008,-0.06286380142241399,3.873721298036637,-13.916380615260595,545 days 19:05:52,6.707050860733938,103873.72129803665,115792.74018863402,874.085213045385,15.577221331385546,2.282547594962162,14.925038368402936,1.3109514020109014,inf,0.5624832609620509,2.815094283393019,0.07678263980347182,-10.142111200580754,337 days 15:44:30.450751252,250 days 02:18:21.836393988,44.048774921223895,11.71873362697076,-6.1088813177282875,0.6017473622552447,9 days 00:33:39.740259740,5 days 13:38:18.923933209,4.286251046879769,0.8630400670485932,-0.10682816249157062,-0.5282074429950436
"{'osc_len': 21, 'smth_len': 30, 'trail_len': 7, 'trail_mult': 15.0}",5400,26563,-0.06675121766301252,2.9740002235859904,-12.311395274939409,545 days 19:05:52,5.859842436376123,102974.00022358599,114071.94749335942,753.5273260784381,15.57722133138555,1.7458389080946606,12.717274307765491,0.9964698498340551,0.611448536329012,0.6084879565810685,2.1112610524060944,0.059253226865202194,-8.053477223986002,326 days 23:50:06.791612544,218 days 23:31:08.472814992,45.75161145873841,9.840817145191986,-5.841932190619774,0.5763568418071864,8 days 00:17:22.316258351,5 days 12:11:29.532293986,3.5888081265828724,0.8097214948731498,-0.03783844650833243,-0.518832624486675
"{'osc_len': 15, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 12.0}",5400,34197,-0.07127250840169931,4.6208857752753145,-14.164460027853783,545 days 19:05:52,7.1166365314713635,104620.88577527532,115962.49595987506,950.0692500195942,15.57722133138555,2.785481048698122,15.878386370182765,1.6188782421706256,0.5961669212590767,0.5906371852758244,3.491049633242972,0.08455714067679404,-10.605145799356295,342 days 03:00:22.012229016,261 days 08:44:49.494163424,41.83201091622436,14.129992866955451,-6.179811421440675,0.671932889431993,9 days 23:07:58.265703168,5 days 13:19:38.654808226,298939509862.47705,0.9778322027474291,-0.15443484268737154,-0.40273802640148
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 5, 'trail_mult': 12.0}",5400,33187,-0.07675107048885331,3.2498780626652013,-13.96255525072925,545 days 19:05:52,7.251399256077262,103249.8780626652,115329.87024730298,938.4404416036331,15.57722133138555,1.900779650546935,14.237117018617136,1.0739977209058302,0.5084132720890157,0.5257696708084141,2.258630199558869,0.07123678092850631,-8.895404634263489,326 days 10:29:50.984974960,211 days 01:34:49.482470784,45.26588332685214,11.016922166827209,-6.325986012025272,0.5038079600700837,9 days 00:46:14.164810690,5 days 15:22:02.939866369,3.6134382499519817,0.7346209751197128,-0.03502858749627262,-0.3735953346281354
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 10.0}",5400,45819,-0.07806152720612555,3.196396757858324,-18.48044967336492,545 days 19:05:52,10.13460683067189,103196.39675785833,118120.62122064708,1270.1637971694445,15.57722133138555,1.8195843022710028,18.068611849308525,0.9747483596763422,0.3485628430155389,0.3889148982220459,1.7282310512276604,0.10743046778470865,-13.89297145537459,356 days 17:14:08,266 days 13:46:08,41.88843060231949,13.683321001449796,-6.638434400656325,0.3802550766913167,10 days 14:49:36,5 days 21:38:56,2.186867309646827,0.6197354889915611,-0.10302177357798828,-0.3242935160025338
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 3, 'trail_mult': 12.0}",5400,44903,-0.08252036306935027,3.15321887002969,-18.15657866677493,545 days 19:05:52,9.94590180159145,103153.2188700297,117998.01023553623,1247.1502455846528,15.57722133138555,1.7977311328355978,17.842790566294386,0.9622661793335848,0.3440206440994462,0.39826360927372073,1.6977686874144955,0.10452308608778649,-13.640415330125025,358 days 14:00:00,267 days 22:50:56,42.1615644129533,13.299048102431897,-6.629412980483181,0.3779917741262134,10 days 07:56:16,5 days 20:37:20,2.2568385076370405,0.6135304314748926,-0.10529025662422138,-0.2602605285112696
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 12.0}",5400,29846,-0.08856996462228753,3.262611843751174,-13.743620222726399,545 days 19:05:52,6.458239367790016,103262.61184375119,115279.71995646291,840.7658698485391,15.57722133138555,1.883326112959826,14.485889777286314,1.0589939719698278,0.5284704527185855,0.5406475585828289,2.2303499310957973,0.07357051956727473,-10.006572652045225,341 days 10:51:13.121869784,251 days 18:22:54.290484140,43.23032069970845,11.202123179434357,-6.034116632583122,0.5220087843237254,8 days 19:18:56.771799629,5 days 12:46:45.194805194,3.6648310336140213,0.7774004648331277,-0.13836351253634066,-0.53688650892483
"{'osc_len': 30, 'smth_len': 21, 'trail_len': 5, 'trail_mult': 10.0}",5400,32239,-0.09364379382979934,2.6072128247063127,-13.795258690372274,545 days 19:05:52,7.0504056528737005,102607.21282470632,114485.1200900835,908.9095235975085,15.57722133138555,1.4857882144771666,13.70420120279568,0.805524985341031,inf,0.49309646345020086,1.6639731216064926,0.06703428099784003,-8.840094686322637,329 days 08:17:16.778623120,214 days 14:22:33.423640748,45.58055231496211,10.443465677949241,-6.430132478795756,0.4199159705532755,8 days 13:27:39.688195991,5 days 12:46:46.236080178,3.490594849386916,0.642430086244937,-0.06305481263076909,-0.4309700397953077
"{'osc_len': 21, 'smth_len': 21, 'trail_len': 7, 'trail_mult': 15.0}",5400,28458,-0.09986530586325185,2.8857481532358733,-13.501508331100329,545 days 19:05:52,6.174280863510679,102885.74815323587,114907.18765793204,802.4717007460575,15.57722133138555,1.6516515452065963,14.048177877252009,0.9158860839731371,0.4851092565022562,0.5055755696472308,1.9017844623239852,0.06996255261028467,-9.844123636027808,344 days 00:14:41.469115192,255 days 11:33:57.395659432,43.10078923344229,10.70215743105509,-6.014059133106744,0.4745213397544581,8 days 12:30:27.384044526,5 days 11:29:16.586270872,3.643255594232411,0.7261001114506064,-0.16221399309144036,-0.6448482025561052
"{'osc_len': 30, 'smth_len': 15, 'trail_len': 7, 'trail_mult': 10.0}",5400,30719,-0.10842154717546282,2.6097396935328874,-13.440966351068475,545 days 19:05:52,6.728274908658186,102609.7396935329,114624.50898910828,869.8059114632216,15.577221331385546,1.47724828686386,13.445168767571484,0.8047725574115622,inf,0.5047006006371062,1.7084825178463203,0.0653392733895983,-8.792890246842878,328 days 18:05:28.608534324,219 days 11:33:01.001855288,44.13303190219841,10.368670804313032,-6.208011392001397,0.4224752790264205,8 days 11:32:52.080935585,5 days 12:32:44.729905327,3.307377414211436,0.6495769392306903,-0.10772678781225996,-0.4442267214763639
